University,Overall,Rank,Citation,Fac_Stud,Int_Fac,Acad_Rep,Emp_Rep,Int_Stud
University of Science and Technology of China,66.7,113,97.9,62.8,,72.1,48.7,
UniversitÃ© de MontrÃ©al,66.6,115,62,,85,79.5,75.6,80.1
The Hong Kong Polytechnic University,66.3,116,70.5,47,99.3,69.1,59.6,82
Eindhoven University of Technology,66.2,117,69.6,99.4,100,50.5,57.3,
Sungkyunkwan University (SKKU),66.1,118,43.5,86.9,,68.9,99.4,
Freie Universitaet Berlin,65.7,119,61.3,,60.1,93.3,62.7,54.6
Nagoya University,65.6,120,45.7,93.7,,73.7,58,
Lancaster University,65.5,121,82.3,45.1,91.4,59.1,69.2,95.8
Cardiff University,65,122,53.8,66.8,71.7,63.8,73.3,85.7
University of Minnesota,64.9,123,97.4,,,84.1,46.3,37.6
Universidad de Buenos Aires (UBA),64.6,124,,61.4,30.4,95.7,98.9,38
Ghent University,64.6,124,40.9,90.3,55.8,71.5,54.9,
Erasmus University Rotterdam,64.5,126,67.1,65.7,69.2,55.1,90.4,65.3
Humboldt-UniversitÃ¤t zu Berlin,64.5,126,41.7,,55.4,96.6,76.6,42.8
"University of Maryland, College Park",64.5,126,82.3,63.3,31.2,70,,37
"University of California, Santa Barbara (UCSB)",64.3,129,100,,62.7,84.4,,44.7
University of Southern California,64.2,130,76.7,42.9,34.8,70.4,65.1,74.1
Nanjing University,64.2,130,86.5,,38.7,76.7,63.6,
Chalmers University of Technology,64,132,76.3,71.9,78.7,48.6,86.5,44.6
Albert-Ludwigs-Universitaet Freiburg,63.5,133,64.7,59.3,58.3,74.1,,45.4
University of Pittsburgh,63.5,133,67.6,93.8,64.6,58.2,,
Wageningen University,63.4,135,52.9,99.9,42.8,55.6,40,86.5
University of Oslo,63.4,135,61.1,61.3,67,71.5,45.4,45.4
University of Aberdeen,63.2,137,64.1,65.3,93.4,53.6,63.3,94.4
UniversitÃ© Pierre et Marie Curie (UPMC),63.2,137,89.4,,36.4,72.3,52.3,53.2
University of Basel,63.1,139,96.6,,100,54.5,48.3,85.1
Aalto University,63.1,139,63.5,92.6,75.6,50.5,58.5,38.7
Hokkaido University,63.1,139,48.4,85.8,,69.8,64.7,
Kyushu University,62.7,142,,98.8,,69.3,66.4,
University of Lausanne,62.4,143,38.5,95.2,97.6,53.2,55,77.9
Universidade de SÃ£o Paulo,62.4,143,,,,95.3,94.6,
RWTH Aachen University,62.2,145,53,,31.4,78.5,97.6,50.7
Universiti Malaya (UM),62.1,146,,94.1,80.6,62,56.8,77.3
Indian Institute of Science (IISc) Bangalore,62,147,99.3,84.4,,52.5,39.7,
The Hebrew University of Jerusalem,61.8,148,59.4,82.5,52,66.9,,
UniversitÃ© Catholique de Louvain (UCL),61.5,149,,55.2,78.9,76.5,72.4,65.4
McMaster University,61.5,149,53.3,64.6,91.5,61.7,60.2,50.6
University of Liverpool,61.1,151,50.1,66.8,76.9,55.1,69.5,95.1
University of Waterloo,60.9,152,88.6,,78.3,61,79.4,75.7
University of Vienna,60.8,153,,,94.8,82.5,57.9,93.4
University College Dublin,60.5,154,63.1,,90.9,62.2,72.4,63.7
National Tsing Hua University,60.2,155,99.8,,39.1,65.2,49,
Ecole Centrale de Paris,60.1,156,74.3,86.7,,,100,94.9
University of Reading,60.1,156,67.7,51.5,86.6,51.1,68.2,89.7
Dartmouth College,60,158,83.8,86.4,,41.1,65.3,51.6
University of Bath,59.8,159,68.3,,90.5,51.3,89,90.4
Texas A&M University,59.7,159,89.8,,,76.3,68.3,
Universidad Nacional AutÃ³noma de MÃ©xico (UNAM),59.6,160,,49.4,,95.9,92.5,
The University of Exeter,59.5,161,66.9,44.3,85.2,52,76.7,87.1
Newcastle University,59.4,162,55.8,61.8,83.4,49.6,73.2,88.6
"University of California, Irvine",59.2,163,95.7,,52.8,63.3,40.9,69.9
Michigan State University,58.9,164,70.8,,61.5,69.8,59.5,55.6
Emory University,58.8,165,89.6,85.1,45,41.8,,45.2
University of Bern,58.6,166,99.9,46.3,99.4,43.8,45.4,43.5
University of Barcelona,58.6,166,38.8,,,86.9,74.1,
Georg-August-University Goettingen,58.5,168,,74.9,44.5,74.2,,37.9
Maastricht University,58.2,169,60.6,71.5,94.8,37.5,68.8,99.9
Pontificia Universidad CatÃ³lica de Chile (UC),58.1,170,,,,90.7,98.3,
University of Cape Town,57.8,171,53.3,,70.1,68.9,60.6,52.5
University of Virginia,57.7,172,62.6,70.9,53.4,53.7,49.7,35.9
University of Otago,57,173,60.4,,100,62.7,53.8,66
Eberhard Karls UniversitÃ¤t TÃ¼bingen,57,173,,82.4,47.2,64.5,51.4,
University of Colorado Boulder,56.9,175,61.5,70.1,40.2,56,51.6,
Vrije Universiteit Amsterdam,56.8,176,66.1,,44.3,64.3,66.8,
Radboud University,56.7,177,85.1,60,52.2,47,42.2,38.8
Technische UniversitÃ¤t Berlin,56.6,178,,,39.2,70.5,82.3,56.9
Indian Institute of Technology Delhi (IITD),56.4,179,96.2,,,55.3,81.6,
University of Florida,56.1,180,48.3,68.2,,65.3,44.6,
University of Bergen,55.9,181,59,86.4,78.9,47.3,,
Queen's University Belfast,55.8,182,50.1,52.4,97.8,49.9,56.6,94
National Chiao Tung University,55.8,182,96.5,64.9,49,37.5,,63.1
Stockholm University,55.8,182,53.3,,,76.9,50.8,
"University of Illinois, Chicago (UIC)",55.7,185,59.5,47.5,61.3,59,46.7,57.7
University of Sussex,55.6,187,77,,100,48.4,,96.9
Universidad Autonoma de Madrid,55.5,186,37.8,51.3,,72.5,68.6,
Politecnico di Milano,55.2,187,66.7,,38.2,64.7,89.8,48.5
University of Twente,55.1,188,97.5,44.3,81.1,37.4,39.6,73.4
Ã‰cole Normale SupÃ©rieure de Lyon,55.1,188,,100,53.9,58.3,,38.4
University of Rochester,54.8,190,59.3,99.9,35.9,38.9,,77.8
Universitat AutÃ²noma de Barcelona,54.8,190,50.3,,,78,47.5,
The University of Western Ontario,54.6,192,78.5,,95.5,50.3,62.3,57.9
Hanyang University,54.4,193,,94.5,,44.3,67.8,53.2
Vrije Universiteit Brussel (VUB),54.2,194,,95,77.1,41.4,64.1,69.4
University of Notre Dame,54.1,195,84.1,50.4,83.5,42.2,48.2,
Universidade estadual de Campinas(Unicamp),54.1,195,43.4,,,75.1,79.9,
Vienna University of Technology,53.9,197,90.8,,62.3,47.2,71.1,87.4
Technion - Israel Institute of Technology,53.8,198,87.5,,60,54.2,42.4,
King Fahd University of Petroleum & Minerals,53.5,199,39.4,83.9,100,37.2,51.7,73.9
Indian Institute of Technology Bombay (IITB),52.8,202,65.6,,,62.3,87.5,
Tel Aviv University,52.7,203,98.9,,34.3,58,47.9,
University of Calgary,52.5,204,53.3,,69.1,54.9,67.6,64.7
Alma Mater Studiorum - University of Bologna,52.5,204,,,,87.5,62.9,
Queen`s University at Kingston,52.4,206,75.4,,78.6,53.8,67.5,
Universite libre de Bruxelles,52,207,,,93.8,56.4,62.3,94.9
University of Antwerp,51.9,208,,95.3,65,43.4,40.5,51.6
Universidad de Chile,51.6,209,,,,84.6,92.8,
Rheinische Friedrich-Wilhelms-Universitt Bonn,51.4,210,,60.3,,67.1,39.4,39.1
University of Canterbury,51.2,211,61.2,,99,49.1,57.8,61.9
Waseda University,51.1,212,,,35.6,73.3,85.3,40.2
Georgetown University,51,213,38.3,58.7,44.7,49.8,66.5,54.3
Sapienza University of Rome,51,213,44.9,,,85.7,54.4,
Case Western Reserve University,50.8,215,65.6,97.7,36.5,,,65.3
Vanderbilt University,50.7,216,43.4,100,,46.6,,
The University of Arizona,50.7,216,71.9,,,61,,
University of Technology Sydney,50.5,218,42.3,,95.6,48.6,85.9,93.2
University Hamburg,50.4,219,,,,68.9,55.4,37
University of Tsukuba,50.4,219,,79,,52.1,45.8,
Keio University,50.4,219,,57.5,,65.8,82.3,
UniversitÃ© Paris-Sorbonne (Paris IV),50.3,222,,,31.2,86,78.6,52
Sciences Po Paris,50.2,223,,92.6,64.1,36.8,78.3,97.2
National Cheng Kung University,50.1,224,68.9,51,,49.7,,
Simon Fraser University,50,225,88.2,,93.5,41.6,45.3,91.7
